RAPORT Z OBRAZKA: STAT_S32_33.png
----------------------------------------

--- LINIA Y: 0 ---
Piksel 0: 		(0, 0, 0, 0)
Piksel 1: 		(0, 0, 0, 0)
Piksel 2: 		(0, 0, 0, 0)
Piksel 3: 		(0, 0, 0, 0)
Piksel 4: 		(0, 0, 0, 0)
Piksel 5: 		(0, 0, 0, 0)
Piksel 6: 		(0, 0, 0, 0)
Piksel 7: 		(0, 0, 0, 0)
Piksel 8: 		(0, 0, 0, 0)
Piksel 9: 		(0, 0, 0, 0)
Piksel 10: 		(0, 0, 0, 0)
Piksel 11: 		(0, 0, 0, 0)
Piksel 12: 		(0, 0, 0, 0)
Piksel 13: 		(0, 0, 0, 0)
Piksel 14: 		(235, 184, 109, 255)
Piksel 15: 		(19, 130, 255, 255)
Piksel 16: 		(0, 101, 255, 255)
Piksel 17: 		(243, 255, 255, 255)
Piksel 18: 		(243, 255, 255, 255)
Piksel 19: 		(243, 255, 255, 255)
Piksel 20: 		(243, 255, 255, 255)
Piksel 21: 		(243, 255, 255, 255)
Piksel 22: 		(235, 184, 109, 255)
Piksel 23: 		(90, 81, 78, 255)
Piksel 24: 		(90, 81, 78, 255)
Piksel 25: 		(51, 43, 40, 255)
Piksel 26: 		(51, 43, 40, 255)
Piksel 27: 		(51, 43, 40, 255)
Piksel 28: 		(51, 43, 40, 255)
Piksel 29: 		(90, 81, 78, 255)
Piksel 30: 		(243, 255, 255, 255)
Piksel 31: 		(243, 255, 255, 255)
Piksel 32: 		(0, 101, 255, 255)
Piksel 33: 		(19, 130, 255, 255)
Piksel 34: 		(235, 184, 109, 255)
Piksel 35: 		(133, 115, 60, 255)
Piksel 36: 		(0, 101, 255, 255)
Piksel 37: 		(90, 81, 78, 255)
Piksel 38: 		(90, 81, 78, 255)
Piksel 39: 		(76, 125, 88, 255)
Piksel 40: 		(76, 125, 88, 255)
Piksel 41: 		(76, 125, 88, 255)
Piksel 42: 		(86, 63, 41, 255)
Piksel 43: 		(86, 63, 41, 255)
Piksel 44: 		(86, 63, 41, 255)
Piksel 45: 		(86, 63, 41, 255)
Piksel 46: 		(128, 92, 64, 255)
Piksel 47: 		(128, 92, 64, 255)
Piksel 48: 		(52, 33, 17, 255)
Piksel 49: 		(0, 101, 255, 255)
Piksel 50: 		(255, 255, 0, 255)
Piksel 51: 		(76, 125, 88, 255)
Piksel 52: 		(255, 177, 163, 255)
Piksel 53: 		(133, 115, 60, 255)
Piksel 54: 		(133, 115, 60, 255)
Piksel 55: 		(133, 115, 60, 255)
Piksel 56: 		(235, 184, 109, 255)
Piksel 57: 		(19, 130, 255, 255)
Piksel 58: 		(0, 101, 255, 255)
Piksel 59: 		(243, 255, 255, 255)
Piksel 60: 		(0, 101, 255, 255)
Piksel 61: 		(243, 255, 255, 255)
Piksel 62: 		(243, 255, 255, 255)
Piksel 63: 		(0, 101, 255, 255)
Piksel 64: 		(243, 255, 255, 255)
Piksel 65: 		(90, 81, 78, 255)
Piksel 66: 		(51, 43, 40, 255)
Piksel 67: 		(51, 43, 40, 255)
Piksel 68: 		(118, 117, 126, 255)
Piksel 69: 		(64, 82, 132, 255)
Piksel 70: 		(255, 255, 0, 255)
Piksel 71: 		(74, 87, 141, 255)
Piksel 72: 		(118, 117, 126, 255)
Piksel 73: 		(243, 255, 255, 255)
Piksel 74: 		(0, 0, 0, 0)
Piksel 75: 		(0, 0, 0, 0)
Piksel 76: 		(0, 0, 0, 0)
Piksel 77: 		(0, 0, 0, 0)
Piksel 78: 		(0, 0, 0, 0)
Piksel 79: 		(0, 0, 0, 0)
Piksel 80: 		(0, 0, 0, 0)
Piksel 81: 		(0, 0, 0, 0)
Piksel 82: 		(0, 0, 0, 0)
Piksel 83: 		(0, 0, 0, 0)
Piksel 84: 		(0, 0, 0, 0)
Piksel 85: 		(0, 0, 0, 0)
Piksel 86: 		(0, 0, 0, 0)
Piksel 87: 		(0, 0, 0, 0)
Piksel 88: 		(0, 0, 0, 0)

--- LINIA Y: 1 ---
Piksel 0: 		(0, 0, 0, 0)
Piksel 1: 		(0, 0, 0, 0)
Piksel 2: 		(0, 0, 0, 0)
Piksel 3: 		(0, 0, 0, 0)
Piksel 4: 		(0, 0, 0, 0)
Piksel 5: 		(0, 0, 0, 0)
Piksel 6: 		(0, 0, 0, 0)
Piksel 7: 		(0, 0, 0, 0)
Piksel 8: 		(0, 0, 0, 0)
Piksel 9: 		(0, 0, 0, 0)
Piksel 10: 		(0, 0, 0, 0)
Piksel 11: 		(0, 0, 0, 0)
Piksel 12: 		(0, 0, 0, 0)
Piksel 13: 		(128, 92, 64, 255)
Piksel 14: 		(235, 184, 109, 255)
Piksel 15: 		(19, 130, 255, 255)
Piksel 16: 		(0, 101, 255, 255)
Piksel 17: 		(0, 101, 255, 255)
Piksel 18: 		(0, 101, 255, 255)
Piksel 19: 		(0, 101, 255, 255)
Piksel 20: 		(19, 130, 255, 255)
Piksel 21: 		(19, 130, 255, 255)
Piksel 22: 		(0, 101, 255, 255)
Piksel 23: 		(0, 101, 255, 255)
Piksel 24: 		(0, 101, 255, 255)
Piksel 25: 		(0, 101, 255, 255)
Piksel 26: 		(0, 101, 255, 255)
Piksel 27: 		(0, 101, 255, 255)
Piksel 28: 		(0, 101, 255, 255)
Piksel 29: 		(0, 101, 255, 255)
Piksel 30: 		(0, 101, 255, 255)
Piksel 31: 		(235, 184, 109, 255)
Piksel 32: 		(133, 115, 60, 255)
Piksel 33: 		(255, 177, 163, 255)
Piksel 34: 		(52, 33, 17, 255)
Piksel 35: 		(0, 101, 255, 255)
Piksel 36: 		(243, 255, 255, 255)
Piksel 37: 		(243, 255, 255, 255)
Piksel 38: 		(86, 63, 41, 255)
Piksel 39: 		(86, 63, 41, 255)
Piksel 40: 		(86, 63, 41, 255)
Piksel 41: 		(86, 63, 41, 255)
Piksel 42: 		(86, 63, 41, 255)
Piksel 43: 		(86, 63, 41, 255)
Piksel 44: 		(86, 63, 41, 255)
